medicine_id,generic_name,brand_name,manufacturer,category,unit_price_LKR,restock_threshold,lead_time_days,batch_id,manufacture_date,expiry_date,date,sales_qty,stock_qty,month,day_of_week,is_weekend
12,Amlodipine,Amlodac,Local,Blood Pressure,119.97,120,3,B12-1,10/20/2024,10/20/2027,1/2/2025,15,2350,1,Thursday,0
13,Metformin,Glucophage,Merck,Diabetes,90.35,120,5,B13-1,10/17/2024,10/17/2027,1/2/2025,9,1515,1,Thursday,0
14,Metformin,Metformin Tablets,SPMC,Diabetes,208.62,100,7,B14-1,10/19/2024,10/19/2027,1/2/2025,16,2192,1,Thursday,0
15,Metformin,Glycomet,USV,Diabetes,208.73,100,5,B15-2,11/1/2024,11/1/2027,1/2/2025,19,2059,1,Thursday,0
16,Amoxicillin,Augmentin,GSK,Antibiotic,82.46,120,3,B16-3,11/6/2024,11/6/2026,1/2/2025,15,2037,1,Thursday,0
17,Amoxicillin,Amoxicillin Capsules,SPMC,Antibiotic,242.91,80,3,B17-1,11/13/2024,11/13/2026,1/2/2025,6,1768,1,Thursday,0
18,Amoxicillin,Amoxil,GSK,Antibiotic,118.32,80,3,B18-3,10/25/2024,10/25/2026,1/2/2025,16,1854,1,Thursday,0
19,Chlorphenamine,Piriton,GSK,Allergy,135.51,80,7,B19-1,10/22/2024,10/22/2027,1/2/2025,4,1653,1,Thursday,0
20,Chlorphenamine,Chlorphenamine Tablets,SPMC,Allergy,205.31,120,5,B20-1,11/17/2024,11/17/2027,1/2/2025,11,1200,1,Thursday,0
21,Chlorphenamine,Allermine,Local,Allergy,240.75,120,3,B21-3,10/12/2024,10/12/2027,1/2/2025,15,951,1,Thursday,0
22,Omeprazole,Losec,AstraZeneca,Gastritis,239.62,80,3,B22-2,11/3/2024,11/3/2027,1/2/2025,17,2490,1,Thursday,0
23,Omeprazole,Omeprazole Capsules,SPMC,Gastritis,153.03,120,5,B23-1,10/13/2024,10/13/2027,1/2/2025,11,2009,1,Thursday,0
24,Omeprazole,Omez,Dr Reddy,Gastritis,199.33,100,7,B24-1,10/13/2024,10/13/2027,1/2/2025,17,1584,1,Thursday,0
25,Losartan,Cozaar,MSD,Blood Pressure,227.66,120,3,B25-2,10/12/2024,10/12/2027,1/2/2025,13,2111,1,Thursday,0
26,Losartan,Losartan Tablets,SPMC,Blood Pressure,190.41,80,7,B26-2,11/8/2024,11/8/2027,1/2/2025,22,1543,1,Thursday,0
27,Losartan,Losar,Local,Blood Pressure,146.2,80,3,B27-1,11/23/2024,11/23/2027,1/2/2025,20,2533,1,Thursday,0
28,Salbutamol,Ventolin,GSK,Asthma,135.2,100,5,B28-3,10/18/2024,10/18/2027,1/2/2025,9,1349,1,Thursday,0
29,Salbutamol,Salbutamol Tablets,SPMC,Asthma,236.53,120,7,B29-1,11/7/2024,11/7/2027,1/2/2025,20,2312,1,Thursday,0
30,Salbutamol,Asthalin,Cipla,Asthma,153.49,100,7,B30-1,11/21/2024,11/21/2027,1/2/2025,10,1807,1,Thursday,0
1,Paracetamol,Panadol,GSK,Analgesic,137.2,100,3,B1-2,10/18/2024,10/18/2027,1/3/2025,27,3776,1,Friday,0
2,Paracetamol,Calpol,GSK,Analgesic,159.93,120,3,B2-1,10/15/2024,10/15/2027,1/3/2025,40,2129,1,Friday,0
3,Paracetamol,SPMC Paracetamol,SPMC,Analgesic,114.11,100,5,B3-2,10/28/2024,10/28/2027,1/3/2025,26,3763,1,Friday,0
4,Vitamin C,Cevit,SPMC,Supplement,73.99,120,3,B4-1,11/8/2024,11/8/2026,1/3/2025,26,3557,1,Friday,0
5,Vitamin C,Redoxon,Bayer,Supplement,174.23,100,7,B5-1,11/6/2024,11/6/2026,1/3/2025,24,3073,1,Friday,0
6,Vitamin C,Vitamin C Tablets,SPMC,Supplement,152.72,120,7,B6-2,10/20/2024,10/20/2026,1/3/2025,27,3694,1,Friday,0
7,Atorvastatin,Lipitor,Pfizer,Cholesterol,159.24,80,5,B7-3,10/10/2024,10/10/2027,1/3/2025,13,2048,1,Friday,0
8,Atorvastatin,Atorva,SPMC,Cholesterol,243.93,120,7,B8-1,10/28/2024,10/28/2027,1/3/2025,24,1284,1,Friday,0
9,Atorvastatin,Atorvastatin Tablets,SPMC,Cholesterol,107.57,100,7,B9-1,10/9/2024,10/9/2027,1/3/2025,12,1865,1,Friday,0
10,Amlodipine,Norvasc,Pfizer,Blood Pressure,75.43,120,3,B10-1,10/20/2024,10/20/2027,1/3/2025,9,2076,1,Friday,0
11,Amlodipine,Amlodipine Tablets,SPMC,Blood Pressure,95.2,120,5,B11-3,10/17/2024,10/17/2027,1/3/2025,13,1734,1,Friday,0
12,Amlodipine,Amlodac,Local,Blood Pressure,119.97,120,3,B12-1,10/20/2024,10/20/2027,1/3/2025,18,2332,1,Friday,0
13,Metformin,Glucophage,Merck,Diabetes,90.35,120,5,B13-1,10/17/2024,10/17/2027,1/3/2025,18,1497,1,Friday,0
14,Metformin,Metformin Tablets,SPMC,Diabetes,208.62,100,7,B14-1,10/19/2024,10/19/2027,1/3/2025,16,2176,1,Friday,0
15,Metformin,Glycomet,USV,Diabetes,208.73,100,5,B15-2,11/1/2024,11/1/2027,1/3/2025,10,2049,1,Friday,0
16,Amoxicillin,Augmentin,GSK,Antibiotic,82.46,120,3,B16-3,11/6/2024,11/6/2026,1/3/2025,9,2028,1,Friday,0
17,Amoxicillin,Amoxicillin Capsules,SPMC,Antibiotic,242.91,80,3,B17-1,11/13/2024,11/13/2026,1/3/2025,16,1752,1,Friday,0
18,Amoxicillin,Amoxil,GSK,Antibiotic,118.32,80,3,B18-3,10/25/2024,10/25/2026,1/3/2025,19,1835,1,Friday,0
19,Chlorphenamine,Piriton,GSK,Allergy,135.51,80,7,B19-1,10/22/2024,10/22/2027,1/3/2025,7,1646,1,Friday,0
20,Chlorphenamine,Chlorphenamine Tablets,SPMC,Allergy,205.31,120,5,B20-1,11/17/2024,11/17/2027,1/3/2025,8,1192,1,Friday,0
21,Chlorphenamine,Allermine,Local,Allergy,240.75,120,3,B21-3,10/12/2024,10/12/2027,1/3/2025,3,948,1,Friday,0
22,Omeprazole,Losec,AstraZeneca,Gastritis,239.62,80,3,B22-2,11/3/2024,11/3/2027,1/3/2025,27,2463,1,Friday,0
23,Omeprazole,Omeprazole Capsules,SPMC,Gastritis,153.03,120,5,B23-1,10/13/2024,10/13/2027,1/3/2025,18,1991,1,Friday,0
24,Omeprazole,Omez,Dr Reddy,Gastritis,199.33,100,7,B24-1,10/13/2024,10/13/2027,1/3/2025,16,1568,1,Friday,0
25,Losartan,Cozaar,MSD,Blood Pressure,227.66,120,3,B25-2,10/12/2024,10/12/2027,1/3/2025,21,2090,1,Friday,0
26,Losartan,Losartan Tablets,SPMC,Blood Pressure,190.41,80,7,B26-2,11/8/2024,11/8/2027,1/3/2025,14,1529,1,Friday,0
27,Losartan,Losar,Local,Blood Pressure,146.2,80,3,B27-1,11/23/2024,11/23/2027,1/3/2025,14,2519,1,Friday,0
28,Salbutamol,Ventolin,GSK,Asthma,135.2,100,5,B28-3,10/18/2024,10/18/2027,1/3/2025,15,1334,1,Friday,0
29,Salbutamol,Salbutamol Tablets,SPMC,Asthma,236.53,120,7,B29-1,11/7/2024,11/7/2027,1/3/2025,21,2291,1,Friday,0
30,Salbutamol,Asthalin,Cipla,Asthma,153.49,100,7,B30-1,11/21/2024,11/21/2027,1/3/2025,21,1786,1,Friday,0
1,Paracetamol,Panadol,GSK,Analgesic,137.2,100,3,B1-2,10/18/2024,10/18/2027,1/4/2025,28,3748,1,Saturday,1
2,Paracetamol,Calpol,GSK,Analgesic,159.93,120,3,B2-1,10/15/2024,10/15/2027,1/4/2025,27,2102,1,Saturday,1
3,Paracetamol,SPMC Paracetamol,SPMC,Analgesic,114.11,100,5,B3-2,10/28/2024,10/28/2027,1/4/2025,35,3728,1,Saturday,1
4,Vitamin C,Cevit,SPMC,Supplement,73.99,120,3,B4-1,11/8/2024,11/8/2026,1/4/2025,35,3522,1,Saturday,1
5,Vitamin C,Redoxon,Bayer,Supplement,174.23,100,7,B5-1,11/6/2024,11/6/2026,1/4/2025,33,3040,1,Saturday,1
6,Vitamin C,Vitamin C Tablets,SPMC,Supplement,152.72,120,7,B6-2,10/20/2024,10/20/2026,1/4/2025,42,3652,1,Saturday,1
7,Atorvastatin,Lipitor,Pfizer,Cholesterol,159.24,80,5,B7-3,10/10/2024,10/10/2027,1/4/2025,21,2027,1,Saturday,1
8,Atorvastatin,Atorva,SPMC,Cholesterol,243.93,120,7,B8-1,10/28/2024,10/28/2027,1/4/2025,24,1260,1,Saturday,1
9,Atorvastatin,Atorvastatin Tablets,SPMC,Cholesterol,107.57,100,7,B9-1,10/9/2024,10/9/2027,1/4/2025,8,1857,1,Saturday,1
10,Amlodipine,Norvasc,Pfizer,Blood Pressure,75.43,120,3,B10-1,10/20/2024,10/20/2027,1/4/2025,27,2049,1,Saturday,1
11,Amlodipine,Amlodipine Tablets,SPMC,Blood Pressure,95.2,120,5,B11-3,10/17/2024,10/17/2027,1/4/2025,28,1706,1,Saturday,1
12,Amlodipine,Amlodac,Local,Blood Pressure,119.97,120,3,B12-1,10/20/2024,10/20/2027,1/4/2025,28,2304,1,Saturday,1
13,Metformin,Glucophage,Merck,Diabetes,90.35,120,5,B13-1,10/17/2024,10/17/2027,1/4/2025,22,1475,1,Saturday,1
14,Metformin,Metformin Tablets,SPMC,Diabetes,208.62,100,7,B14-1,10/19/2024,10/19/2027,1/4/2025,12,2164,1,Saturday,1
15,Metformin,Glycomet,USV,Diabetes,208.73,100,5,B15-2,11/1/2024,11/1/2027,1/4/2025,18,2031,1,Saturday,1
16,Amoxicillin,Augmentin,GSK,Antibiotic,82.46,120,3,B16-3,11/6/2024,11/6/2026,1/4/2025,12,2016,1,Saturday,1
17,Amoxicillin,Amoxicillin Capsules,SPMC,Antibiotic,242.91,80,3,B17-1,11/13/2024,11/13/2026,1/4/2025,28,1724,1,Saturday,1
18,Amoxicillin,Amoxil,GSK,Antibiotic,118.32,80,3,B18-3,10/25/2024,10/25/2026,1/4/2025,21,1814,1,Saturday,1
19,Chlorphenamine,Piriton,GSK,Allergy,135.51,80,7,B19-1,10/22/2024,10/22/2027,1/4/2025,16,1630,1,Saturday,1
20,Chlorphenamine,Chlorphenamine Tablets,SPMC,Allergy,205.31,120,5,B20-1,11/17/2024,11/17/2027,1/4/2025,16,1176,1,Saturday,1
21,Chlorphenamine,Allermine,Local,Allergy,240.75,120,3,B21-3,10/12/2024,10/12/2027,1/4/2025,11,937,1,Saturday,1
22,Omeprazole,Losec,AstraZeneca,Gastritis,239.62,80,3,B22-2,11/3/2024,11/3/2027,1/4/2025,26,2437,1,Saturday,1
23,Omeprazole,Omeprazole Capsules,SPMC,Gastritis,153.03,120,5,B23-1,10/13/2024,10/13/2027,1/4/2025,23,1968,1,Saturday,1
24,Omeprazole,Omez,Dr Reddy,Gastritis,199.33,100,7,B24-1,10/13/2024,10/13/2027,1/4/2025,23,1545,1,Saturday,1
25,Losartan,Cozaar,MSD,Blood Pressure,227.66,120,3,B25-2,10/12/2024,10/12/2027,1/4/2025,18,2072,1,Saturday,1
26,Losartan,Losartan Tablets,SPMC,Blood Pressure,190.41,80,7,B26-2,11/8/2024,11/8/2027,1/4/2025,12,1517,1,Saturday,1
27,Losartan,Losar,Local,Blood Pressure,146.2,80,3,B27-1,11/23/2024,11/23/2027,1/4/2025,19,2500,1,Saturday,1
28,Salbutamol,Ventolin,GSK,Asthma,135.2,100,5,B28-3,10/18/2024,10/18/2027,1/4/2025,20,1314,1,Saturday,1
29,Salbutamol,Salbutamol Tablets,SPMC,Asthma,236.53,120,7,B29-1,11/7/2024,11/7/2027,1/4/2025,27,2264,1,Saturday,1
30,Salbutamol,Asthalin,Cipla,Asthma,153.49,100,7,B30-1,11/21/2024,11/21/2027,1/4/2025,23,1763,1,Saturday,1
1,Paracetamol,Panadol,GSK,Analgesic,137.2,100,3,B1-2,10/18/2024,10/18/2027,1/5/2025,25,3723,1,Sunday,1
2,Paracetamol,Calpol,GSK,Analgesic,159.93,120,3,B2-1,10/15/2024,10/15/2027,1/5/2025,42,2060,1,Sunday,1
3,Paracetamol,SPMC Paracetamol,SPMC,Analgesic,114.11,100,5,B3-2,10/28/2024,10/28/2027,1/5/2025,24,3704,1,Sunday,1
4,Vitamin C,Cevit,SPMC,Supplement,73.99,120,3,B4-1,11/8/2024,11/8/2026,1/5/2025,33,3489,1,Sunday,1
5,Vitamin C,Redoxon,Bayer,Supplement,174.23,100,7,B5-1,11/6/2024,11/6/2026,1/5/2025,27,3013,1,Sunday,1
6,Vitamin C,Vitamin C Tablets,SPMC,Supplement,152.72,120,7,B6-2,10/20/2024,10/20/2026,1/5/2025,26,3626,1,Sunday,1
7,Atorvastatin,Lipitor,Pfizer,Cholesterol,159.24,80,5,B7-3,10/10/2024,10/10/2027,1/5/2025,14,2013,1,Sunday,1
8,Atorvastatin,Atorva,SPMC,Cholesterol,243.93,120,7,B8-1,10/28/2024,10/28/2027,1/5/2025,7,1253,1,Sunday,1
9,Atorvastatin,Atorvastatin Tablets,SPMC,Cholesterol,107.57,100,7,B9-1,10/9/2024,10/9/2027,1/5/2025,18,1839,1,Sunday,1
10,Amlodipine,Norvasc,Pfizer,Blood Pressure,75.43,120,3,B10-1,10/20/2024,10/20/2027,1/5/2025,16,2033,1,Sunday,1
11,Amlodipine,Amlodipine Tablets,SPMC,Blood Pressure,95.2,120,5,B11-3,10/17/2024,10/17/2027,1/5/2025,17,1689,1,Sunday,1
12,Amlodipine,Amlodac,Local,Blood Pressure,119.97,120,3,B12-1,10/20/2024,10/20/2027,1/5/2025,24,2280,1,Sunday,1
13,Metformin,Glucophage,Merck,Diabetes,90.35,120,5,B13-1,10/17/2024,10/17/2027,1/5/2025,28,1447,1,Sunday,1
14,Metformin,Metformin Tablets,SPMC,Diabetes,208.62,100,7,B14-1,10/19/2024,10/19/2027,1/5/2025,9,2155,1,Sunday,1
15,Metformin,Glycomet,USV,Diabetes,208.73,100,5,B15-2,11/1/2024,11/1/2027,1/5/2025,16,2015,1,Sunday,1
16,Amoxicillin,Augmentin,GSK,Antibiotic,82.46,120,3,B16-3,11/6/2024,11/6/2026,1/5/2025,18,1998,1,Sunday,1
17,Amoxicillin,Amoxicillin Capsules,SPMC,Antibiotic,242.91,80,3,B17-1,11/13/2024,11/13/2026,1/5/2025,12,1712,1,Sunday,1
18,Amoxicillin,Amoxil,GSK,Antibiotic,118.32,80,3,B18-3,10/25/2024,10/25/2026,1/5/2025,37,1777,1,Sunday,1
19,Chlorphenamine,Piriton,GSK,Allergy,135.51,80,7,B19-1,10/22/2024,10/22/2027,1/5/2025,3,1627,1,Sunday,1
20,Chlorphenamine,Chlorphenamine Tablets,SPMC,Allergy,205.31,120,5,B20-1,11/17/2024,11/17/2027,1/5/2025,6,1170,1,Sunday,1
21,Chlorphenamine,Allermine,Local,Allergy,240.75,120,3,B21-3,10/12/2024,10/12/2027,1/5/2025,12,925,1,Sunday,1
22,Omeprazole,Losec,AstraZeneca,Gastritis,239.62,80,3,B22-2,11/3/2024,11/3/2027,1/5/2025,16,2421,1,Sunday,1
23,Omeprazole,Omeprazole Capsules,SPMC,Gastritis,153.03,120,5,B23-1,10/13/2024,10/13/2027,1/5/2025,17,1951,1,Sunday,1
24,Omeprazole,Omez,Dr Reddy,Gastritis,199.33,100,7,B24-1,10/13/2024,10/13/2027,1/5/2025,15,1530,1,Sunday,1
25,Losartan,Cozaar,MSD,Blood Pressure,227.66,120,3,B25-2,10/12/2024,10/12/2027,1/5/2025,24,2048,1,Sunday,1
26,Losartan,Losartan Tablets,SPMC,Blood Pressure,190.41,80,7,B26-2,11/8/2024,11/8/2027,1/5/2025,18,1499,1,Sunday,1
27,Losartan,Losar,Local,Blood Pressure,146.2,80,3,B27-1,11/23/2024,11/23/2027,1/5/2025,26,2474,1,Sunday,1
28,Salbutamol,Ventolin,GSK,Asthma,135.2,100,5,B28-3,10/18/2024,10/18/2027,1/5/2025,6,1308,1,Sunday,1
29,Salbutamol,Salbutamol Tablets,SPMC,Asthma,236.53,120,7,B29-1,11/7/2024,11/7/2027,1/5/2025,12,2252,1,Sunday,1
30,Salbutamol,Asthalin,Cipla,Asthma,153.49,100,7,B30-1,11/21/2024,11/21/2027,1/5/2025,33,1730,1,Sunday,1
1,Paracetamol,Panadol,GSK,Analgesic,137.2,100,3,B1-2,10/18/2024,10/18/2027,1/6/2025,33,3690,1,Monday,0
2,Paracetamol,Calpol,GSK,Analgesic,159.93,120,3,B2-1,10/15/2024,10/15/2027,1/6/2025,23,2037,1,Monday,0
3,Paracetamol,SPMC Paracetamol,SPMC,Analgesic,114.11,100,5,B3-2,10/28/2024,10/28/2027,1/6/2025,37,3667,1,Monday,0
4,Vitamin C,Cevit,SPMC,Supplement,73.99,120,3,B4-1,11/8/2024,11/8/2026,1/6/2025,23,3466,1,Monday,0
5,Vitamin C,Redoxon,Bayer,Supplement,174.23,100,7,B5-1,11/6/2024,11/6/2026,1/6/2025,16,2997,1,Monday,0
6,Vitamin C,Vitamin C Tablets,SPMC,Supplement,152.72,120,7,B6-2,10/20/2024,10/20/2026,1/6/2025,26,3600,1,Monday,0
7,Atorvastatin,Lipitor,Pfizer,Cholesterol,159.24,80,5,B7-3,10/10/2024,10/10/2027,1/6/2025,15,1998,1,Monday,0
8,Atorvastatin,Atorva,SPMC,Cholesterol,243.93,120,7,B8-1,10/28/2024,10/28/2027,1/6/2025,16,1237,1,Monday,0
9,Atorvastatin,Atorvastatin Tablets,SPMC,Cholesterol,107.57,100,7,B9-1,10/9/2024,10/9/2027,1/6/2025,11,1828,1,Monday,0
10,Amlodipine,Norvasc,Pfizer,Blood Pressure,75.43,120,3,B10-1,10/20/2024,10/20/2027,1/6/2025,13,2020,1,Monday,0
11,Amlodipine,Amlodipine Tablets,SPMC,Blood Pressure,95.2,120,5,B11-3,10/17/2024,10/17/2027,1/6/2025,12,1677,1,Monday,0
12,Amlodipine,Amlodac,Local,Blood Pressure,119.97,120,3,B12-1,10/20/2024,10/20/2027,1/6/2025,15,2265,1,Monday,0
13,Metformin,Glucophage,Merck,Diabetes,90.35,120,5,B13-1,10/17/2024,10/17/2027,1/6/2025,14,1433,1,Monday,0
14,Metformin,Metformin Tablets,SPMC,Diabetes,208.62,100,7,B14-1,10/19/2024,10/19/2027,1/6/2025,24,2131,1,Monday,0
15,Metformin,Glycomet,USV,Diabetes,208.73,100,5,B15-2,11/1/2024,11/1/2027,1/6/2025,20,1995,1,Monday,0
16,Amoxicillin,Augmentin,GSK,Antibiotic,82.46,120,3,B16-3,11/6/2024,11/6/2026,1/6/2025,13,1985,1,Monday,0
17,Amoxicillin,Amoxicillin Capsules,SPMC,Antibiotic,242.91,80,3,B17-1,11/13/2024,11/13/2026,1/6/2025,17,1695,1,Monday,0
18,Amoxicillin,Amoxil,GSK,Antibiotic,118.32,80,3,B18-3,10/25/2024,10/25/2026,1/6/2025,26,1751,1,Monday,0
19,Chlorphenamine,Piriton,GSK,Allergy,135.51,80,7,B19-1,10/22/2024,10/22/2027,1/6/2025,5,1622,1,Monday,0
20,Chlorphenamine,Chlorphenamine Tablets,SPMC,Allergy,205.31,120,5,B20-1,11/17/2024,11/17/2027,1/6/2025,10,1160,1,Monday,0
21,Chlorphenamine,Allermine,Local,Allergy,240.75,120,3,B21-3,10/12/2024,10/12/2027,1/6/2025,5,920,1,Monday,0
22,Omeprazole,Losec,AstraZeneca,Gastritis,239.62,80,3,B22-2,11/3/2024,11/3/2027,1/6/2025,19,2402,1,Monday,0
23,Omeprazole,Omeprazole Capsules,SPMC,Gastritis,153.03,120,5,B23-1,10/13/2024,10/13/2027,1/6/2025,14,1937,1,Monday,0
24,Omeprazole,Omez,Dr Reddy,Gastritis,199.33,100,7,B24-1,10/13/2024,10/13/2027,1/6/2025,18,1512,1,Monday,0
25,Losartan,Cozaar,MSD,Blood Pressure,227.66,120,3,B25-2,10/12/2024,10/12/2027,1/6/2025,9,2039,1,Monday,0
26,Losartan,Losartan Tablets,SPMC,Blood Pressure,190.41,80,7,B26-2,11/8/2024,11/8/2027,1/6/2025,13,1486,1,Monday,0
27,Losartan,Losar,Local,Blood Pressure,146.2,80,3,B27-1,11/23/2024,11/23/2027,1/6/2025,32,2442,1,Monday,0
28,Salbutamol,Ventolin,GSK,Asthma,135.2,100,5,B28-3,10/18/2024,10/18/2027,1/6/2025,13,1295,1,Monday,0
29,Salbutamol,Salbutamol Tablets,SPMC,Asthma,236.53,120,7,B29-1,11/7/2024,11/7/2027,1/6/2025,5,2247,1,Monday,0
30,Salbutamol,Asthalin,Cipla,Asthma,153.49,100,7,B30-1,11/21/2024,11/21/2027,1/6/2025,13,1717,1,Monday,0
1,Paracetamol,Panadol,GSK,Analgesic,137.2,100,3,B1-2,10/18/2024,10/18/2027,1/7/2025,31,3659,1,Tuesday,0
2,Paracetamol,Calpol,GSK,Analgesic,159.93,120,3,B2-1,10/15/2024,10/15/2027,1/7/2025,31,2006,1,Tuesday,0
3,Paracetamol,SPMC Paracetamol,SPMC,Analgesic,114.11,100,5,B3-2,10/28/2024,10/28/2027,1/7/2025,31,3636,1,Tuesday,0
